;2016-02-29;23.96;26.05;23.52;25.26;25.26;65375000;4.59;69.56;3.85
;2016-03-01;25.62;27.28;25.62;26.94;26.94;75602000;5.31;74.18;4.11
;2016-03-02;25.97;27.25;25.8;27.15;27.15;58735800;4.13;74.76;4.14
;2016-03-03;27.1;28.0;26.24;27.96;27.96;63937000;4.49;76.99;4.26
;2016-03-04;28.79;29.17;27.61;27.79;27.79;60174500;4.23;76.52;4.23
;2016-03-07;27.81;30.33;26.63;29.63;29.63;69268500;4.87;81.59;4.52
;2016-03-08;29.03;29.93;27.73;28.68;28.68;56444800;3.97;78.97;4.37
;2016-03-09;27.05;27.7;26.52;26.57;26.57;44741700;3.14;73.16;4.05
;2016-03-10;26.11;28.15;25.85;27.1;27.1;51846800;3.64;74.62;4.13
;2016-03-11;28.3;29.2;27.6;27.81;27.81;48706100;3.42;76.58;4.24
;2016-03-14;26.95;28.29;26.58;28.16;28.16;49991500;3.51;77.54;4.29
;2016-03-15;26.98;26.99;25.81;26.1;26.1;53864900;3.79;71.87;3.98
;2016-03-16;25.83;26.85;25.68;26.53;26.53;41074200;2.89;73.05;4.04
;2016-03-17;27.39;27.52;26.46;26.8;26.8;54008800;3.8;73.8;4.08
;2016-03-18;27.03;27.91;26.87;27.26;27.26;49129100;3.45;75.06;4.15
;2016-03-21;26.75;27.45;26.28;27.16;27.16;57770700;4.06;74.79;4.14
;2016-03-22;26.59;28.07;26.4;27.96;27.96;72035600;5.06;76.99;4.26
;2016-03-23;27.42;28.12;26.58;27.05;27.05;53786200;3.78;74.49;4.12
;2016-03-24;25.81;26.8;25.4;26.05;26.05;51276600;3.6;71.73;3.97
;2016-03-25;25.86;26.06;25.09;25.3;25.3;31232600;2.19;69.67;3.86
;2016-03-28;25.21;25.97;25.08;25.63;25.63;30271100;2.13;70.58;3.91
;2016-03-29;25.58;26.36;25.0;25.93;25.93;40003900;2.81;71.4;3.95
;2016-03-30;26.98;27.12;26.05;26.38;26.38;43707900;3.07;72.64;4.02
;2016-03-31;26.0;26.59;25.72;26.29;26.29;29757000;2.09;63.73;4.01
;2016-04-01;26.28;27.3;26.02;26.8;26.8;40611000;2.85;64.97;3.95
;2016-04-04;26.28;27.3;26.02;26.8;26.8;40611000;2.85;64.97;3.95
